Match_No,Date,Group,Team1,Team2,Venue,Host_Country
1,2027-10-10,A,India,Zimbabwe,Johannesburg,South Africa
2,2027-10-10,B,Australia,Netherlands,Cape Town,South Africa
3,2027-10-11,A,Pakistan,Bangladesh,Pretoria,South Africa
4,2027-10-11,B,England,Namibia,Windhoek,Namibia
5,2027-10-12,A,South Africa,Afghanistan,Durban,South Africa
6,2027-10-12,B,New Zealand,Sri Lanka,Bulawayo,Zimbabwe
7,2027-10-13,A,India,Bangladesh,Harare,Zimbabwe
8,2027-10-13,B,Australia,England,Gqeberha,South Africa
9,2027-10-14,A,Pakistan,South Africa,Centurion,South Africa
10,2027-10-14,B,New Zealand,Netherlands,Kimberley,South Africa
11,2027-10-15,A,Afghanistan,Zimbabwe,Harare,Zimbabwe
12,2027-10-15,B,Sri Lanka,Namibia,Windhoek,Namibia
13,2027-10-16,A,India,Pakistan,Cape Town,South Africa
14,2027-10-16,B,Australia,New Zealand,Johannesburg,South Africa
15,2027-10-17,A,South Africa,Bangladesh,Durban,South Africa
16,2027-10-17,B,England,Sri Lanka,Bulawayo,Zimbabwe
17,2027-10-18,A,Afghanistan,India,Pretoria,South Africa
18,2027-10-18,B,Namibia,Netherlands,Windhoek,Namibia
19,2027-10-19,A,Zimbabwe,Pakistan,Harare,Zimbabwe
20,2027-10-19,B,Australia,Sri Lanka,Cape Town,South Africa
21,2027-10-20,A,South Africa,India,Johannesburg,South Africa
22,2027-10-20,B,England,New Zealand,Durban,South Africa
23,2027-10-21,A,Bangladesh,Afghanistan,Bulawayo,Zimbabwe
24,2027-10-21,B,Netherlands,Sri Lanka,Kimberley,South Africa
25,2027-10-22,A,Zimbabwe,South Africa,Harare,Zimbabwe
26,2027-10-22,B,Namibia,Australia,Windhoek,Namibia
