Team 1,Team 2,Winner,Win Margin,Ground,Match Date
New Zealand,England,New Zealand,11 runs,"Gujarat Stadium, Motera, Ahmedabad",1996-02-14
South Africa,United Arab Emirates,South Africa,169 runs,Rawalpindi Cricket Stadium,1996-02-16
Zimbabwe,West Indies,West Indies,6 wickets,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",1996-02-16
New Zealand,Netherlands,New Zealand,119 runs,"Indian Petrochemicals Corporation Limited Sports Complex Ground, Baroda",1996-02-17
Sri Lanka,Australia,Sri Lanka,Walkover,"R Premadasa Stadium, Colombo",1996-02-17
Kenya,India,India,7 wickets,"Barabati Stadium, Cuttack",1996-02-18
United Arab Emirates,England,England,8 wickets,"Arbab Niaz Stadium, Peshawar",1996-02-18
New Zealand,South Africa,South Africa,5 wickets,"Iqbal Stadium, Faisalabad",1996-02-20
Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,"Sinhalese Sports Club Ground, Colombo",1996-02-21
West Indies,India,India,5 wickets,"Captain Roop Singh Stadium, Gwalior",1996-02-21
England,Netherlands,England,49 runs,"Arbab Niaz Stadium, Peshawar",1996-02-22
Australia,Kenya,Australia,97 runs,"Indira Priyadarshini Stadium, Visakhapatnam",1996-02-23
United Arab Emirates,Pakistan,Pakistan,9 wickets,"Jinnah Stadium, Gujranwala",1996-02-24
South Africa,England,South Africa,78 runs,Rawalpindi Cricket Stadium,1996-02-25
Sri Lanka,West Indies,Sri Lanka,Walkover,"R Premadasa Stadium, Colombo",1996-02-25
Kenya,Zimbabwe,Zimbabwe,5 wickets,"Moin-ul-Haq Stadium, Patna",1996-02-27
Netherlands,Pakistan,Pakistan,8 wickets,"Gaddafi Stadium, Lahore",1996-02-26
New Zealand,United Arab Emirates,New Zealand,109 runs,"Iqbal Stadium, Faisalabad",1996-02-27
Australia,India,Australia,16 runs,"Wankhede Stadium, Mumbai",1996-02-27
Kenya,West Indies,Kenya,73 runs,"Nehru Stadium, Poona",1996-02-29
Pakistan,South Africa,South Africa,5 wickets,"National Stadium, Karachi",1996-02-29
